,DET_FLIP_ONE_BIT,DET_FLIP_TWO_BITS,DET_FLIP_FOUR_BITS,DET_FLIP_ONE_BYTE,DET_FLIP_TWO_BYTES,DET_FLIP_FOUR_BYTES,DET_ARITH_ADD_ONE,DET_ARITH_SUB_ONE,DET_ARITH_ADD_TWO_LE,DET_ARITH_SUB_TWO_LE,DET_ARITH_ADD_TWO_BIG,DET_ARITH_SUB_TWO_BIG,DET_ARITH_ADD_FOUR_LE,DET_ARITH_SUB_FOUR_LE,DET_ARITH_ADD_FOUR_BIG,DET_ARITH_SUB_FOUR_BIG,INTERESTING_BYTE,INTERESTING_TWO_BYTES_LE,INTERESTING_TWO_BYTES_BIG,INTERESTING_FOUR_BYTES_LE,INTERESTING_FOUR_BYTES_BIG,HAVOC_MUT_FLIPBIT,HAVOC_MUT_INTERESTING8,HAVOC_MUT_INTERESTING16,HAVOC_MUT_INTERESTING16BE,HAVOC_MUT_INTERESTING32,HAVOC_MUT_INTERESTING32BE,HAVOC_MUT_ARITH8_,HAVOC_MUT_ARITH8,HAVOC_MUT_ARITH16_,HAVOC_MUT_ARITH16BE_,HAVOC_MUT_ARITH16,HAVOC_MUT_ARITH16BE,HAVOC_MUT_ARITH32_,HAVOC_MUT_ARITH32BE_,HAVOC_MUT_ARITH32,HAVOC_MUT_ARITH32BE,HAVOC_MUT_RAND8,HAVOC_MUT_BYTEADD,HAVOC_MUT_BYTESUB,HAVOC_MUT_FLIP8,DICTIONARY_USER_EXTRAS_OVER,DICTIONARY_USER_EXTRAS_INSERT,DICTIONARY_AUTO_EXTRAS_OVER,DICTIONARY_AUTO_EXTRAS_INSERT,CUSTOM_MUTATOR,HAVOC
3094,0.143353,0.015913,0.015913,0.031214,0.000637,0,0.319075,0.300578,0.158498,0.169955,0.185869,0.184596,0,0,0,0,0,0,0,0,0,0.143353,0,0,0,0,0,0.300578,0.319075,0.169955,0.184596,0.158498,0.185869,0,0,0,0,0,0.319075,0.300578,0,0,0,0,0,0,0
3095,0.178431,0.017380,0.017380,0.043137,0.000000,0,0.352941,0.333333,0.165775,0.183155,0.156417,0.169786,0,0,0,0,0,0,0,0,0,0.178431,0,0,0,0,0,0.333333,0.352941,0.183155,0.169786,0.165775,0.156417,0,0,0,0,0,0.352941,0.333333,0,0,0,0,0,0,0
3097,0.363636,0.000000,0.000000,0.090909,0.000000,0,0.454545,0.454545,0.153846,0.230769,0.153846,0.230769,0,0,0,0,0,0,0,0,0,0.363636,0,0,0,0,0,0.454545,0.454545,0.230769,0.230769,0.153846,0.153846,0,0,0,0,0,0.454545,0.454545,0,0,0,0,0,0,0
3100,0.203077,0.012626,0.012626,0.049231,0.000000,0,0.396923,0.369231,0.156566,0.181818,0.199495,0.176768,0,0,0,0,0,0,0,0,0,0.203077,0,0,0,0,0,0.369231,0.396923,0.181818,0.176768,0.156566,0.199495,0,0,0,0,0,0.396923,0.369231,0,0,0,0,0,0,0
3102,0.166667,0.500000,0.500000,0.166667,0.000000,0,0.333333,0.500000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.500000,0.333333,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.333333,0.500000,0,0,0,0,0,0,0
3103,0.240310,0.007752,0.007752,0.062016,0.000000,0,0.395349,0.449612,0.116279,0.178295,0.139535,0.240310,0,0,0,0,0,0,0,0,0,0.240310,0,0,0,0,0,0.449612,0.395349,0.178295,0.240310,0.116279,0.139535,0,0,0,0,0,0.395349,0.449612,0,0,0,0,0,0,0
3108,0.184615,0.021148,0.021148,0.052308,0.000000,0,0.350769,0.344615,0.160121,0.169184,0.178248,0.166163,0,0,0,0,0,0,0,0,0,0.184615,0,0,0,0,0,0.344615,0.350769,0.169184,0.166163,0.160121,0.178248,0,0,0,0,0,0.350769,0.344615,0,0,0,0,0,0,0
3110,0.380952,0.083333,0.083333,0.095238,0.000000,0,0.476190,0.523810,0.166667,0.083333,0.083333,0.250000,0,0,0,0,0,0,0,0,0,0.380952,0,0,0,0,0,0.523810,0.476190,0.083333,0.250000,0.166667,0.083333,0,0,0,0,0,0.476190,0.523810,0,0,0,0,0,0,0
3111,0.266667,0.000000,0.000000,0.066667,0.000000,0,0.300000,0.233333,0.500000,0.300000,0.100000,0.400000,0,0,0,0,0,0,0,0,0,0.266667,0,0,0,0,0,0.233333,0.300000,0.300000,0.400000,0.500000,0.100000,0,0,0,0,0,0.300000,0.233333,0,0,0,0,0,0,0
3113,0.228571,0.015385,0.015385,0.078571,0.007692,0,0.421429,0.371429,0.200000,0.161538,0.146154,0.161538,0,0,0,0,0,0,0,0,0,0.228571,0,0,0,0,0,0.371429,0.421429,0.161538,0.161538,0.200000,0.146154,0,0,0,0,0,0.421429,0.371429,0,0,0,0,0,0,0
